system:index,Descriptio,IBI_count,IBI_mean,IBI_stdDev,LST_Celsius_count,LST_Celsius_mean,LST_Celsius_stdDev,MNDWI_count,MNDWI_mean,MNDWI_stdDev,NDBI_count,NDBI_mean,NDBI_stdDev,NDMI_count,NDMI_mean,NDMI_stdDev,NDSI_count,NDSI_mean,NDSI_stdDev,NDVI_count,NDVI_mean,NDVI_stdDev,Name,UI_count,UI_mean,UI_stdDev,anio,clase,feature_id,par_id,.geo
1_00000000000000000000,,4,0.04555363192952969,0.009121929442048527,4,41.96706530486487,0.24038943407953386,4,-0.1770308699022542,0.0072053072866564,4,0.04463767114321928,0.013755298802241364,4,-0.04463767114321928,0.013755298802241364,4,0.07296407430827082,0.008315128774327277,4,0.08342959805651828,0.014184638544449873,Polígono 1 La selva,4,0.019084847976898286,0.014934012115615175,2025,ladrillera,00000000000000000000,1.0,"{""type"":""Polygon"",""coordinates"":[[[-101.62803651877047,21.172957792960844],[-101.62784919121252,21.17302910555535],[-101.62800526855183,21.173314505385527],[-101.62818365534382,21.17326988570327],[-101.62803651877047,21.172957792960844]]]}"
1_00000000000000000001,,9,0.05263676733759504,0.007115803523429892,9,43.14405314112855,0.3919453799335873,9,-0.21032127831423172,0.013132258641899324,9,0.05193309873622787,0.0093418825620164,9,-0.05193309873622787,0.0093418825620164,9,0.07833270179720883,0.006529775938418968,9,0.10378802695400167,0.01213072202079495,Polígono 2 La selva,9,0.007304724636867199,0.012796066057155442,2025,ladrillera,00000000000000000001,2.0,"{""type"":""Polygon"",""coordinates"":[[[-101.62909330256836,21.172904258614864],[-101.62882133639236,21.17282401219045],[-101.6287990270379,21.17284186562544],[-101.62855822520731,21.1728909013417],[-101.62822827379158,21.17308714565891],[-101.62907099315511,21.17330559831425],[-101.62923601348172,21.17295332322509],[-101.62909330256836,21.172904258614864]]]}"
1_00000000000000000002,,29,0.039168183189691765,0.008763467131296512,29,41.69166644924139,0.38272446084979933,29,-0.19976554598918275,0.020296052014263967,29,0.0356805364486884,0.01040646163291745,29,-0.0356805364486884,0.01040646163291745,29,0.06594856252309848,0.008772912612301554,29,0.11433384132746219,0.01877901420761545,Polígono 3 La Selva ll,29,-0.02611581314097363,0.017421209056109804,2025,ladrillera,00000000000000000002,3.0,"{""type"":""Polygon"",""coordinates"":[[[-101.63417224844558,21.174621058226325],[-101.63362820324082,21.174540785218348],[-101.63355241737221,21.174322312936447],[-101.63311098532559,21.1744872318358],[-101.63268735123225,21.175200694178184],[-101.63411868586564,21.175637683787993],[-101.63434170431094,21.175049145182776],[-101.63417224844558,21.174621058226325]]]}"
1_00000000000000000003,,134,0.05482057572183487,0.010077971793743224,134,44.07754781178204,1.1331638342268608,134,-0.21033969420160525,0.018497877333471305,134,0.05558072004289776,0.012354346826380739,134,-0.05558072004289776,0.012354346826380739,134,0.07649423429198936,0.01008278380953807,134,0.10188898834614804,0.014834605249472391,Polígono 4  El Valladito,134,0.014461586794842309,0.018211834281514048,2025,ladrillera,00000000000000000003,4.0,"{""type"":""Polygon"",""coordinates"":[[[-101.64082073487224,21.17448724528754],[-101.6401429573859,21.175249796998582],[-101.64054431016277,21.175695646964286],[-101.63965244615846,21.17650719239705],[-101.63862238015938,21.177385668433626],[-101.6392823504672,21.177938565625205],[-101.63966581581414,21.178620850924567],[-101.63985759242928,21.17852278366381],[-101.6395499165837,21.17780038665298],[-101.64166355698579,21.17686838992878],[-101.6420113489958,21.17678368496757],[-101.64225660991607,21.176600909068558],[-101.64246618908925,21.176739125487533],[-101.64261334621911,21.17642249156796],[-101.64238145445937,21.176319960144777],[-101.64252409691417,21.17599441135758],[-101.64276493130464,21.176114868520795],[-101.64281398379974,21.176052419877976],[-101.64255977926322,21.175918644863007],[-101.64297893926373,21.17507144778793],[-101.64082073487224,21.17448724528754]]]}"
1_00000000000000000004,,19,0.042878185703401815,0.012065669942656423,19,44.61607273345172,1.2084249829807299,19,-0.1942611430154935,0.021333162306874258,19,0.04095626592227924,0.01451703386158683,19,-0.04095626592227924,0.01451703386158683,19,0.06837035715257311,0.01160322468066955,19,0.10591778005547936,0.016244394437878132,Polígono 5 El Valladito,19,-0.005259450519096063,0.017812396623419054,2025,ladrillera,00000000000000000004,5.0,"{""type"":""Polygon"",""coordinates"":[[[-101.63879635771616,21.17544599725499],[-101.63884089393423,21.175361284093636],[-101.63856447452056,21.175098140240205],[-101.63788671183268,21.17630661467667],[-101.63805165943243,21.17651611885917],[-101.63871162609502,21.17599886834242],[-101.63897467633433,21.175615418507792],[-101.63879635771616,21.17544599725499]]]}"
1_00000000000000000005,,130,0.037613299624202366,0.011716909325423434,130,42.82581970770874,0.6739888557952569,130,-0.19533790644112542,0.015800397036490662,130,0.035081925475212994,0.014108397418392269,130,-0.035081925475212994,0.014108397418392269,130,0.06338978317504489,0.011499320258291259,130,0.11525635058313975,0.014218091363592592,Polígono 6 Ladrilleras de la Patiña,130,-0.03305776427755006,0.018751999193299947,2025,ladrillera,00000000000000000005,6.0,"{""type"":""Polygon"",""coordinates"":[[[-101.70304747792673,21.210048604173473],[-101.70102310183368,21.20988364877818],[-101.70073765615851,21.212157713187008],[-101.70064853055425,21.212603620423266],[-101.70393484881028,21.213214576851723],[-101.70304747792673,21.210048604173473]]]}"
1_00000000000000000006,,404,0.05031462599746142,0.013807780156165995,404,46.52695025012183,1.1539244546301497,404,-0.2098240953200752,0.012545539264936768,404,0.04991656036441288,0.017060928142061185,404,-0.04991656036441288,0.017060928142061185,404,0.07526371227767754,0.012551940973282263,404,0.10821897424520718,0.015964864178636313,Polígono 7 Ladrilleras del refugio,404,0.0031970941621331087,0.023755480733435523,2025,ladrillera,00000000000000000006,7.0,"{""type"":""Polygon"",""coordinates"":[[[-101.55261527133499,21.08555047043773],[-101.55269550817448,21.084926187948607],[-101.55224071792615,21.0847122109455],[-101.55239234336514,21.084087869720328],[-101.55231202002108,21.084029934687454],[-101.55129982984978,21.08608556401459],[-101.55110813157914,21.08643781275551],[-101.55059531878526,21.086219388851873],[-101.54973468035645,21.08709776769155],[-101.5501003770748,21.087588316847786],[-101.54997104727478,21.087904922767194],[-101.54944930597904,21.087592745501382],[-101.54883839931158,21.087860300894256],[-101.54812497111116,21.08782464317213],[-101.5476121732704,21.089951593454625],[-101.54972574613134,21.090892539101898],[-101.54945381644932,21.091686178023664],[-101.55123737607511,21.09223912397092],[-101.55142473751349,21.091396355270962],[-101.55197320539969,21.091583646637556],[-101.55415817172658,21.086125743157968],[-101.55261527133499,21.08555047043773]]]}"
1_00000000000000000007,,15,0.042439538684544094,0.010512252290256121,15,42.03473494189846,0.23748120473763223,15,-0.18917978758318052,0.01875381324090027,15,0.03937329487972913,0.014691809382153096,15,-0.03937329487972913,0.014691809382153096,15,0.069111320360489,0.009689124863284796,15,0.1004223599857976,0.01530193244875224,Polígono 8 La selva 2,15,-0.013599102007546522,0.016168423500743684,2025,ladrillera,00000000000000000007,8.0,"{""type"":""Polygon"",""coordinates"":[[[-101.63118467956143,21.170491891715365],[-101.63094387216569,21.170866442869315],[-101.63097503646537,21.170893223055078],[-101.630881456786,21.17109387112631],[-101.6310463931981,21.171196407636458],[-101.6311490011411,21.171035901211756],[-101.63177767233815,21.171294536634615],[-101.63204973311221,21.170928928237377],[-101.63118467956143,21.170491891715365]]]}"
2_00000000000000000000,,28,0.061779568087588346,0.011449559656081246,28,45.59358120390692,0.8710947063406793,28,-0.1941206421818409,0.015096096976576288,28,0.06914928715377355,0.014931889841909273,28,-0.06914928715377355,0.014931889841909273,28,0.07322019361578748,0.007972686337773309,28,0.08524922507581496,0.006298302720883625,Polígono 1,28,0.02761794386039797,0.020828599349097924,2025,suelo_desnudo,00000000000000000000,1.0,"{""type"":""Polygon"",""coordinates"":[[[-101.64484286747745,21.17314065655388],[-101.64440590183223,21.173947693953174],[-101.64573911731567,21.174277683159673],[-101.64614049181908,21.17353744475349],[-101.64484286747745,21.17314065655388]]]}"
2_00000000000000000001,,33,0.06915050341378352,0.01672902127538031,33,44.844747617741945,0.6744796253160189,33,-0.2223471683331639,0.03695165695318938,33,0.07329055908835688,0.020799092635394437,33,-0.07329055908835688,0.020799092635394437,33,0.0932943918440831,0.014601028599061228,33,0.09111074554817777,0.013848806158779722,Polígono 2,33,0.014036514748838045,0.025231456641220514,2025,suelo_desnudo,00000000000000000001,2.0,"{""type"":""Polygon"",""coordinates"":[[[-101.6331377229455,21.16253241246325],[-101.63340084580189,21.162091003397848],[-101.63279881544405,21.161502317225217],[-101.63201405439297,21.162398659888623],[-101.63235738661893,21.162750909408384],[-101.633021831039,21.16328599131612],[-101.6334230693401,21.162920395355318],[-101.6331377229455,21.16253241246325]]]}"
