system:index,Descriptio,IBI_count,IBI_mean,IBI_stdDev,LST_Celsius_count,LST_Celsius_mean,LST_Celsius_stdDev,MNDWI_count,MNDWI_mean,MNDWI_stdDev,NDBI_count,NDBI_mean,NDBI_stdDev,NDMI_count,NDMI_mean,NDMI_stdDev,NDSI_count,NDSI_mean,NDSI_stdDev,NDVI_count,NDVI_mean,NDVI_stdDev,Name,UI_count,UI_mean,UI_stdDev,anio,clase,feature_id,par_id,.geo
1_00000000000000000000,,4,0.04398279692474249,0.0038028191308176456,4,38.771747783648664,0.2358693078479936,4,-0.17868139769311425,0.013787894921068612,4,0.043983735865703574,0.007470256483316253,4,-0.043983735865703574,0.007470256483316253,4,0.07222780018105163,0.0019012281980807873,4,0.09308804142045546,0.014721184627673703,Polígono 1 La selva,4,0.00901208581352556,0.012308255656988384,2026,ladrillera,00000000000000000000,1.0,"{""type"":""Polygon"",""coordinates"":[[[-101.62803651877047,21.172957792960844],[-101.62784919121252,21.17302910555535],[-101.62800526855183,21.173314505385527],[-101.62818365534382,21.17326988570327],[-101.62803651877047,21.172957792960844]]]}"
1_00000000000000000001,,9,0.044077892016031656,0.009171087029459239,9,40.29546741561132,0.4959167036411808,9,-0.2066410606339683,0.01410848290212266,9,0.042254856718527,0.01001627534061282,9,-0.042254856718527,0.01001627534061282,9,0.06956566364164762,0.007433004189689496,9,0.11389115884074846,0.012836374952408774,Polígono 2 La selva,9,-0.012252255987138522,0.014064127821231558,2026,ladrillera,00000000000000000001,2.0,"{""type"":""Polygon"",""coordinates"":[[[-101.62909330256836,21.172904258614864],[-101.62882133639236,21.17282401219045],[-101.6287990270379,21.17284186562544],[-101.62855822520731,21.1728909013417],[-101.62822827379158,21.17308714565891],[-101.62907099315511,21.17330559831425],[-101.62923601348172,21.17295332322509],[-101.62909330256836,21.172904258614864]]]}"
1_00000000000000000002,,29,0.033596682397992406,0.011142338472842862,29,38.9163291127263,0.49199909461360153,29,-0.19976668829643213,0.018842056224792618,29,0.031375509165520614,0.013863573276456716,29,-0.031375509165520614,0.013863573276456716,29,0.05910612934419279,0.010728197925861573,29,0.12615121665170842,0.0196296008453689,Polígono 3 La Selva ll,29,-0.03750236438946481,0.02309680161390986,2026,ladrillera,00000000000000000002,3.0,"{""type"":""Polygon"",""coordinates"":[[[-101.63417224844558,21.174621058226325],[-101.63362820324082,21.174540785218348],[-101.63355241737221,21.174322312936447],[-101.63311098532559,21.1744872318358],[-101.63268735123225,21.175200694178184],[-101.63411868586564,21.175637683787993],[-101.63434170431094,21.175049145182776],[-101.63417224844558,21.174621058226325]]]}"
1_00000000000000000003,,134,0.05265364762443654,0.010260977846828289,134,41.888192262440434,1.0858407731712778,134,-0.20937876581603362,0.017837287474560752,134,0.05439812152379821,0.012589014942123711,134,-0.05439812152379821,0.012589014942123711,134,0.0738227010060111,0.009897819899591397,134,0.10675468831456304,0.016762848634643623,Polígono 4  El Valladito,134,0.008516784506011734,0.017833178703081796,2026,ladrillera,00000000000000000003,4.0,"{""type"":""Polygon"",""coordinates"":[[[-101.64082073487224,21.17448724528754],[-101.6401429573859,21.175249796998582],[-101.64054431016277,21.175695646964286],[-101.63965244615846,21.17650719239705],[-101.63862238015938,21.177385668433626],[-101.6392823504672,21.177938565625205],[-101.63966581581414,21.178620850924567],[-101.63985759242928,21.17852278366381],[-101.6395499165837,21.17780038665298],[-101.64166355698579,21.17686838992878],[-101.6420113489958,21.17678368496757],[-101.64225660991607,21.176600909068558],[-101.64246618908925,21.176739125487533],[-101.64261334621911,21.17642249156796],[-101.64238145445937,21.176319960144777],[-101.64252409691417,21.17599441135758],[-101.64276493130464,21.176114868520795],[-101.64281398379974,21.176052419877976],[-101.64255977926322,21.175918644863007],[-101.64297893926373,21.17507144778793],[-101.64082073487224,21.17448724528754]]]}"
1_00000000000000000004,,19,0.03776367034641289,0.014234525803634195,19,41.3176419849632,0.764212431895045,19,-0.1970260243051338,0.024061164879955833,19,0.03732744884512264,0.016647972975907487,19,-0.03732744884512264,0.016647972975907487,19,0.06261405015292493,0.014106241108195033,19,0.1195286145492672,0.024232727424336933,Polígono 5 El Valladito,19,-0.01623444804924671,0.022215223412492165,2026,ladrillera,00000000000000000004,5.0,"{""type"":""Polygon"",""coordinates"":[[[-101.63879635771616,21.17544599725499],[-101.63884089393423,21.175361284093636],[-101.63856447452056,21.175098140240205],[-101.63788671183268,21.17630661467667],[-101.63805165943243,21.17651611885917],[-101.63871162609502,21.17599886834242],[-101.63897467633433,21.175615418507792],[-101.63879635771616,21.17544599725499]]]}"
1_00000000000000000005,,130,0.030729955938482607,0.013961315967675397,130,40.55196871061791,0.6869537417365862,130,-0.1973388590958808,0.01719422284853156,130,0.028011869857679988,0.017370193500277437,130,-0.028011869857679988,0.017370193500277437,130,0.055915154273791304,0.012642905704555164,130,0.13010155928787012,0.017817139369679425,Polígono 6 Ladrilleras de la Patiña,130,-0.041495770300664266,0.020601086949979502,2026,ladrillera,00000000000000000005,6.0,"{""type"":""Polygon"",""coordinates"":[[[-101.70304747792673,21.210048604173473],[-101.70102310183368,21.20988364877818],[-101.70073765615851,21.212157713187008],[-101.70064853055425,21.212603620423266],[-101.70393484881028,21.213214576851723],[-101.70304747792673,21.210048604173473]]]}"
1_00000000000000000006,,404,0.04794951623939432,0.015813393306706388,404,44.56730896464806,1.3310037643576869,404,-0.21256859464130595,0.013816760266211186,404,0.04834072342037034,0.01945712616745503,404,-0.04834072342037034,0.01945712616745503,404,0.0719653449880899,0.014678032770239383,404,0.11734871313075644,0.019330746574384088,Polígono 7 Ladrilleras del refugio,404,-0.0038442835027123106,0.027361858343447946,2026,ladrillera,00000000000000000006,7.0,"{""type"":""Polygon"",""coordinates"":[[[-101.55261527133499,21.08555047043773],[-101.55269550817448,21.084926187948607],[-101.55224071792615,21.0847122109455],[-101.55239234336514,21.084087869720328],[-101.55231202002108,21.084029934687454],[-101.55129982984978,21.08608556401459],[-101.55110813157914,21.08643781275551],[-101.55059531878526,21.086219388851873],[-101.54973468035645,21.08709776769155],[-101.5501003770748,21.087588316847786],[-101.54997104727478,21.087904922767194],[-101.54944930597904,21.087592745501382],[-101.54883839931158,21.087860300894256],[-101.54812497111116,21.08782464317213],[-101.5476121732704,21.089951593454625],[-101.54972574613134,21.090892539101898],[-101.54945381644932,21.091686178023664],[-101.55123737607511,21.09223912397092],[-101.55142473751349,21.091396355270962],[-101.55197320539969,21.091583646637556],[-101.55415817172658,21.086125743157968],[-101.55261527133499,21.08555047043773]]]}"
1_00000000000000000007,,15,0.03587501328191314,0.006140917096255418,15,39.89002797990769,0.3512824868656605,15,-0.18899367155536223,0.019734689754165296,15,0.03356326499763625,0.008884635563195032,15,-0.03356326499763625,0.008884635563195032,15,0.06350094185947545,0.004937465324603861,15,0.11488054664370233,0.02055465569735256,Polígono 8 La selva 2,15,-0.026274479537491836,0.01499160996704281,2026,ladrillera,00000000000000000007,8.0,"{""type"":""Polygon"",""coordinates"":[[[-101.63118467956143,21.170491891715365],[-101.63094387216569,21.170866442869315],[-101.63097503646537,21.170893223055078],[-101.630881456786,21.17109387112631],[-101.6310463931981,21.171196407636458],[-101.6311490011411,21.171035901211756],[-101.63177767233815,21.171294536634615],[-101.63204973311221,21.170928928237377],[-101.63118467956143,21.170491891715365]]]}"
2_00000000000000000000,,28,0.06054423254844898,0.01347583944468111,28,43.16041289227397,1.0774504047643194,28,-0.2091749664700209,0.019917384825806385,28,0.0652961240842568,0.016244651826447996,28,-0.0652961240842568,0.016244651826447996,28,0.07746130699355835,0.011324420032686895,28,0.0989630535542747,0.007253170240117917,Polígono 1,28,-0.002513540005276754,0.011096837350197886,2026,suelo_desnudo,00000000000000000000,1.0,"{""type"":""Polygon"",""coordinates"":[[[-101.64484286747745,21.17314065655388],[-101.64440590183223,21.173947693953174],[-101.64573911731567,21.174277683159673],[-101.64614049181908,21.17353744475349],[-101.64484286747745,21.17314065655388]]]}"
2_00000000000000000001,,33,0.07439496015747739,0.018097055459540958,33,42.7867486235484,0.6866929773322564,33,-0.2359774632938245,0.037084504952197,33,0.08256391794174349,0.023640552197973074,33,-0.08256391794174349,0.023640552197973074,33,0.09324198675361736,0.013882324123668762,33,0.1019588829260284,0.01772952987567283,Polígono 2,33,0.033111152320533944,0.03241621823965677,2026,suelo_desnudo,00000000000000000001,2.0,"{""type"":""Polygon"",""coordinates"":[[[-101.6331377229455,21.16253241246325],[-101.63340084580189,21.162091003397848],[-101.63279881544405,21.161502317225217],[-101.63201405439297,21.162398659888623],[-101.63235738661893,21.162750909408384],[-101.633021831039,21.16328599131612],[-101.6334230693401,21.162920395355318],[-101.6331377229455,21.16253241246325]]]}"
